FID,name,address,products,latitude,longitude
74,My Vet,"Del Charro 709  Col. Raul Garcia, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72929378,-106.4317429
75,Padisa,"Fray Pedro De Gante 7073  Col. San Lorenzo, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73629251,-106.4264194
76,Padisa Juarez,"Pedro De Gante 1000  Col. San Lorenzo, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73628737,-106.4264742
77,Pastura Norma,"Centeno 7915  Col. Granjero, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.66509668,-106.4103761
78,Pasturas,"Coahuila 331  Col. Lomas De Poleo, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.77440518,-106.5704488
79,Pasturas Chapito,"Juan Balderas   Col. Fronteriza Alta, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73162526,-106.5284802
80,Pasturas Del Norte,"De Los Aztecas 3653  Col. Granjas De Chapultepec, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.66968643,-106.4743578
81,Pasturas El Chapito,"Juan Balderas 5435  Col. Fronteriza, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73154743,-106.5280147
82,Pasturas El Mezquital,"Mezquital   Col. El Mezquital, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.59011297,-106.3992143
83,Pasturas El Ponny,"Mesa Central   Col. Manuel J Clouthier, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60244555,-106.3630777
84,Pasturas El Potro,"Sinaloa 3112  Col. Fronteriza Alta, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73009688,-106.5316544
85,Pasturas El Richi,"Division Del Norte   Col. Mariano Escobedo, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.72311303,-106.4994792
86,Pasturas El Topo,"Juarez-Casas Grandes 276  Col. Granjas Polo Gamboa, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60751192,-106.4654377
87,Pasturas La Bodega,"Gabriel Gavira 475  Col. Km20, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.60713845,-106.4551195
88,Pasturas Paola,"Pavo Real   Col. Division Del Norte, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.66942946,-106.4479036
89,Pasturas Varela,"Vistas De Pena Fiel 1356  Col. Vista De Los Ojitos, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.68302359,-106.4960293
