id_veterinaries,place_name,address_vet,Schedule,class_activity_vet,rating_vet,latitud,longitud
11,CENTRO ANTIRRABICO DE CIUDAD JUAREZ,"DE SEVILLA 4241  COL. SANTA ROSA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas prestados por el sector público,null,31.71740319,-106.4725601
12,CENTRO MEDICO VETERINARIO,"HERMANOS ESCOBAR 2379  COL. HIDALGO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74390505,-106.4621073
13,CENTRO MEDICO VETERINARIO,"PRADERAS DE LOS ALAMOS 9743  COL. PRADERAS DE LOS ALAMOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.62264345,-106.400927
14,CLINICA DE ESTERILIZACION,"COSTA RICA 2135  COL. MELCHOR OCAMPO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72072187,-106.4666938
15,CLINICA DE VETERINARIA,"ZARAGOZA 8431  COL. GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65029658,-106.4058954
16,CLINICA VETERINARIA,"MANUEL AISPURO   COL. INFONAVIT CASAS GRANDES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7054588,-106.4414497
17,CLINICA VETERINARIA,"ADOLFO LOPEZ MATEOS 1762  COL. PASO DEL NORTE, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71817328,-106.451031
18,CLINICA VETERINARIA BELISARIO,"BELISARIO DOMINGUEZ 0  COL. CORREGIDORA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71999231,-106.4881301
19,CLINICA VETERINARIA BICHOS,"SANTIAGO BLANCAS 8339  COL. REVOLUCION, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63729725,-106.4066959
20,CLINICA VETERINARIA EL CAMPANARIO,"PASEO DE COMPOSITORES 1514  COL. EL CAMPANARIO CUATRO SIGLOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61117818,-106.3941007
21,CLINICA VETERINARIA RINCONADA,"PALACIO DE MITLA 909  COL. BOSQUES DE SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por menor de mascotas,null,31.62536568,-106.3814295
22,CLINICA VETERINARIA SALVARCAR,"PORFIRIO DIAZ 1005  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.64639155,-106.3752104
23,COCOPETS,"EJERCITO NACIONAL 8806  COL. VISTA DEL SOL, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Cerrado, ",Servicios veterinarios para mascotas ,4.5,31.68911186,-106.3985796
24,COMIDA DE MASCOTAS,"NINGUNO   COL. 16 DE SEPTIMBRE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.72480992,-106.5346715
25,COMPRA Y VENTA DE PASTURA,"JUAREZ-CASAS GRANDES 504  COL. K20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.6071121,-106.4541819
26,CONSULTORIO VETERINARIO,"LAGO HURON 5348  COL. LOS LAGOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72491008,-106.4381804
27,CONSULTORIO VETERINARIO,"ADOLFO LOPEZ MATEOS 1192 2 COL. LOS NOGALES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72551567,-106.4503505
28,CONSULTORIO VETERINARIO,"LINARES 1323  COL. MARIANO ESCOBEDO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72038875,-106.499777
29,CONSULTORIO VETERINARIO,"TORONJA ROJA  6339 COL. PIE DE CASA EL GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65992397,-106.3962212
30,CONSULTORIO VETERINARIO MARUET,"COCOYOC   COL. SANTA TERESA, JUÁREZ, CHIHUAHUA","Lunes: 9:30 AM – 6:00 PM, Martes: 9:30 AM – 6:00 PM, Miércoles: 9:30 AM – 6:00 PM, Jueves: 9:30 AM – 6:00 PM, Viernes: 9:30 AM – 6:00 PM, Sabado: 9:30 AM – 6:00 PM, Domingo: Cerrado, ",Servicios veterinarios para mascotas ,4.5,31.69599023,-106.4300246
31,DISTRIBUIDORA RANDAI,"HACIENDA CENTRAL   COL. LAS HACIENDAS, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.57759082,-106.3962369
32,DISTRIBUIDORA VETERINARIA LA VAQUITA SA DE CV,"DEL PORTICO 2038  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.6898465,-106.3804188
33,DISTRIBUIDORA VETERINARIA ROMAR,"PROFESOR ALEJANDRO AGUIRRE LAREDO 5206  COL. LA FUENTE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.71524174,-106.4429976
34,DOCTOR PET,"NIÑOS HEROES 2429  COL. EX HIPODROMO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72818056,-106.4625982
35,DOCTOR PET,"DE LA RAZA 708 1 COL. LOS NOGALES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73116361,-106.4496351
36,DOCTOR PET,"PIÑA 6754  COL. GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65518985,-106.4012174
37,DOGITO VETERINARIA,"JUAREZ-CASAS GRANDES 0 4 COL. KILOMETRO 20, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.60712566,-106.4527028
38,DOGTOR,"MANUEL J. CLOUTHIER (JILOTEPEC) 10110  COL. INFONAVIT JUAREZ NUEVO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.66027532,-106.3912539
39,DOGYCAT CLINICA VETERINARIA,"FRANCISCO VILLARREAL TORRES 0  COL. JUAREZ, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.68419984,-106.3874816
40,DULCERIA PIÑATAS SIN NOMBRE,"16 DE SEPTIEMBRE   COL. ARROYO COLORADO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.74324862,-106.5021402
41,ESTETICA CANINA Y FARMACIA VETERINARIA,"VALLE DE JUAREZ   COL. FRONTERA, JUÁREZ, CHIHUAHUA",,Otros servicios personales,null,31.73739483,-106.4154369
42,ESTETICA CANINA Y VETERINARIA DOG ZONE,"MANUEL J. CLOUTHIER (JILOTEPEC) 10267  COL. INFONAVIT AMPL AEROPUERTO V ETAPA, JUÁREZ, CHIHUAHUA",,Otros servicios personales,null,31.65892227,-106.3871614
43,ESTETICA VETERINARIA PATITAS,"CAMINO ORTIZ RUBIO 5151  COL. JARDINES DE SAN CARLOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.66604427,-106.3817644
44,FAMILY PET,"VALLE DEL SOL 1961  COL. EJIDO SALVARCAR, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.69410208,-106.3738753
45,FAMILY PET,"DE LAS TORRES   COL. PARQUE INDUSTRIAL HENEQUEN, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.64816741,-106.3884004
46,FARMACIA VETERINARIA BULLY,"16 DE SEPTIEMBRE   COL. INSURGENTES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7450476,-106.5086614
47,FARMACIA VETERINARIA DR DE LEON,"MONTES URALES 6621  COL. LOMAS DEL REY, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 8:00 PM, Martes: 9:00 AM – 8:00 PM, Miércoles: 9:00 AM – 8:00 PM, Jueves: 9:00 AM – 8:00 PM, Viernes: 9:00 AM – 8:00 PM, Sabado: 9:00 AM – 8:00 PM, Domingo: 11:00 AM – 1:00 PM, ",Comercio al por menor de mascotas,4.5,31.67085881,-106.4296507
48,FARMACIA VETERINARIA EL RANCHO,"RANCHO ANAPRA 10520  COL. PUERTO ANAPRA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.77317365,-106.5540919
49,FARMAPOLIS,"MANUEL GOMEZ MORIN 1536  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.67957176,-106.3712619
50,FORRAJE EL GRANO DE ORO,"SAUZAL 813  COL. EL SAUZAL, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60845002,-106.3203369
51,GRANOS Y PASTURAS EL ALAZAN,"GABRIEL GAVIRA 433  COL. KM 20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60728791,-106.4548862
52,GRANOS Y SEMILLAS,"JUAREZ-CASAS GRANDES 481 2 COL. KM20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60715126,-106.4555749
53,GRANOS Y SEMILLAS DEL VALLE,"CAMPECHE 425  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.64711398,-106.3630408
54,HAPPY PUPPY,"CAMINO A ORTIZ RUBIO 2115  COL. CORDERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.68936583,-106.3755365
55,HEALTHY PETS,"BENJAMIN FRANKLIN 3220  COL. ZONA PRONAF, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74239829,-106.4518786
56,HOSPICAN VETERINARIA,"MONTEBELLO 2111  COL. MISIONES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.70729291,-106.4099115
57,HOSPITAL VETERINARIA,"ADOLFO LOPEZ MATEOS 1662  COL. CORDOBA AMERICAS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.75211891,-106.448184
58,HOSPITAL VETERINARIO,"DE LOS INSURGENTES 4032  COL. LOS NOGALES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73175134,-106.4497264
59,IIG INTRNATIONAL,"JUAREZ-PORVENIR 1004  COL. ZARAGOZITA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.63862997,-106.3380981
60,INAGRO,"VICENTE GUERRERO 8048  COL. LOS PARQUES, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73234093,-106.4067927
61,JJ HERMANOS ACOSTA,"PRIMERA 305  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.65278219,-106.3637011
62,LA PROVIDENCIA,"PUERTO PALMA   COL. TIERRA NUEVA II (FRANCISCO VILLARREAL), JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.61138417,-106.3332082
63,LAS MISIONES,"PASEO DE COMPOSITORES 1328  COL. LAS MISIONES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61081178,-106.3916551
64,Del Sol Hospital Veterinario,"TECNOLOGICO 110  COL. PLAZA DEL SOL, JUÁREZ, CHIHUAHUA","Lunes: 7:00 AM – 10:30 PM, Martes: 7:00 AM – 10:30 PM, Miércoles: 7:00 AM – 10:30 PM, Jueves: 7:00 AM – 10:30 PM, Viernes: 7:00 AM – 10:30 PM, Sabado: 7:00 AM – 10:30 PM, Domingo: 7:00 AM – 10:30 PM, ",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,4.7,31.69986186,-106.4247272
65,MARA DISTRIBUCIONES,"AERONAUTICA 6910 13 COL. JARDINES DEL AEROPUERTO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.77675235,-106.5668809
66,MASCOTAS GOO,"RODESIA 7343  COL. INFONAVIT TECNOLOGICO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65331971,-106.4219504
67,MEDICAN CARE HOSPITAL VETERINARIO,"PITAHAYA   COL. ERENDIRA, JUÁREZ, CHIHUAHUA","Lunes: 9:30 AM – 8:00 PM, Martes: 9:30 AM – 8:00 PM, Miércoles: 9:30 AM – 8:00 PM, Jueves: 9:30 AM – 8:00 PM, Viernes: 9:30 AM – 8:00 PM, Sabado: 9:30 AM – 6:30 PM, Domingo: Cerrado, ",Otros servicios personales,4.7,31.67039815,-106.4092951
68,MEGAVET,"SENECÚ 2038  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.71991291,-106.406583
69,MINI SUR VETERINARIA,"LAGO DE CORINTO 199  COL. INF FRONTERA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74004526,-106.4189792
70,MINI ZOO,"VALLE DEL SOL 2050 7 COL. PLAZA SENDERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.69520427,-106.3808714
71,MINI ZOO,"DE LAS TORRES 2751  COL. HCIENDA DE LAS TORRES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.60694745,-106.3978464
72,MINIZOO,"SANTIAGO TRONCOSO 1328  COL. PARQUE INDUSTRIAL PIMSA INTERMEX, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63453812,-106.3848618
73,MONTESOL ANIMAL CENTER,"MIGUEL DE LA MADRID HURTADO 7096  COL. 41, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.6475011,-106.4027047
74,MY VET,"DEL CHARRO 709  COL. RAUL GARCIA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72929378,-106.4317429
75,PADISA,"FRAY PEDRO DE GANTE 7073  COL. SAN LORENZO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73629251,-106.4264194
76,PADISA JUAREZ,"PEDRO DE GANTE 1000  COL. SAN LORENZO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73628737,-106.4264742
77,PASTURA NORMA,"CENTENO 7915  COL. GRANJERO, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Cerrado, ",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.66509668,-106.4103761
78,PASTURAS,"COAHUILA 331  COL. LOMAS DE POLEO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.77440518,-106.5704488
79,PASTURAS CHAPITO,"JUAN BALDERAS   COL. FRONTERIZA ALTA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73162526,-106.5284802
80,PASTURAS DEL NORTE,"DE LOS AZTECAS 3653  COL. GRANJAS DE CHAPULTEPEC, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.66968643,-106.4743578
81,PASTURAS EL CHAPITO,"JUAN BALDERAS 5435  COL. FRONTERIZA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73154743,-106.5280147
82,PASTURAS EL MEZQUITAL,"MEZQUITAL   COL. EL MEZQUITAL, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.59011297,-106.3992143
83,PASTURAS EL PONNY,"MESA CENTRAL   COL. MANUEL J CLOUTHIER, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60244555,-106.3630777
84,PASTURAS EL POTRO,"SINALOA 3112  COL. FRONTERIZA ALTA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73009688,-106.5316544
85,PASTURAS EL RICHI,"DIVISION DEL NORTE   COL. MARIANO ESCOBEDO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.72311303,-106.4994792
86,PASTURAS EL TOPO,"JUAREZ-CASAS GRANDES 276  COL. GRANJAS POLO GAMBOA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60751192,-106.4654377
87,PASTURAS LA BODEGA,"GABRIEL GAVIRA 475  COL. KM20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60713845,-106.4551195
88,PASTURAS PAOLA,"PAVO REAL   COL. DIVISION DEL NORTE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.66942946,-106.4479036
89,PASTURAS VARELA,"VISTAS DE PEÑA FIEL 1356  COL. VISTA DE LOS OJITOS, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.68302359,-106.4960293
90,PASTURERIA BEKY,"MARTE 1787  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.68042127,-106.3752008
91,PATITAS ROTAS,"JUAN GABRIEL   COL. SAFARI, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.62911896,-106.4614599
92,PET HOME VETERINARIA,"WATERFILL 6  COL. RINCON DE WATERFILL, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.66794051,-106.3505903
93,PET LOVE,"FRANCISCO VILLA 547  COL. MANUEL VALDEZ III, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63045227,-106.3608013
94,PET ZONE,"BELISARIO DOMINGUEZ 1679  COL. CHAVEÑA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72692509,-106.4854228
95,PETS ANATOMY,"EJERCITO NACIONAL 9331  COL. BOSQUES DE SANTA FE, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.68491163,-106.3966481
96,PETS PLACE CLINIC,"PRADERA DE TEMORIS 0  COL. PRADERAS DE LA SIERRA I, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.62182805,-106.405657
97,PETS WORLD,"BOSQUES DE JACARANDAS 2926 4 COL. JARDINES DELBOSQUE, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 7:00 PM, Martes: 9:00 AM – 7:00 PM, Miércoles: 9:00 AM – 7:00 PM, Jueves: 9:00 AM – 7:00 PM, Viernes: 9:00 AM – 7:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: 10:00 AM – 5:00 PM, ",Servicios veterinarios para mascotas ,null,31.70177108,-106.4136125
98,PIXIE,"EJERCITO NACIONAL 6151 8 COL. EL MARQUEZ, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7087741,-106.4319593
99,RANCHO AGRICOLA,"HERMENEGILDO LUNA 0  COL. AGUILAS DE ZARAGOZA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.6247745,-106.3329499
100,REGINAS PET SPA & GROOMING,"JACINTO BENAVENTE 2545  COL. INFONAVIT CASAS GRANDES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.70537368,-106.4311064
101,REGINAS PET SPA & GROOMING,"JACINTO BENAVENTE 2545  COL. INFONAVIT CASAS GRANDES, JUÁREZ, CHIHUAHUA","Lunes: 8:00 AM – 8:00 PM, Martes: 8:00 AM – 8:00 PM, Miércoles: 8:00 AM – 8:00 PM, Jueves: 8:00 AM – 8:00 PM, Viernes: 8:00 AM – 8:00 PM, Sabado: 8:00 AM – 8:00 PM, Domingo: 9:00 AM – 5:00 PM, ",Servicios veterinarios para mascotas ,3.8,31.70537368,-106.4311064
102,SERVICIOS MEDICOS VETERINARIOS,"PLUTARCO ELIAS CALLES 664  COL. VILLAS ADLIN, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74158927,-106.440888
103,SERVICIOS PARA SU MASCOTA,"FERNANDO MONTES DE OCA 3116  COL. PARTIDO ESCOBEDO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73533369,-106.4558067
104,SERVICIOS VETERINARIOS,"AYUNTAMIENTO   COL. INDUSTRIAL, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71247117,-106.4781762
105,SERVICIOS VETERINARIOS INTEGRALES GOPHERUS,"HEROES DEL CARRIZAL 3708  COL. ANAHUAC, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71152646,-106.4849342
106,SERVICIOS VETERINARIOS PARA MASCOTAS PRESTADOS POR EL SECTOR PRIVADO,"CUSTODIO DE LA REPUBLICA 1015  COL. SAN FRANCISCO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.60667563,-106.362572
107,SHOWER PET,"MANUEL GOMEZ MORIN 1325  COL. JUAREZ, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.67511132,-106.3688197
108,STAR PETS,"DE LOS INSURGENTES 5284  COL. SEGUNDA BUROCRATA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73107091,-106.439446
109,TOTE ZOO,"MANUEL J. CLOUTHIER (JILOTEPEC) 450  COL. MARIA ISABEL, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65952808,-106.361531
110,UNIDAD MEDICA VETERINARIA,"DE LA RAZA   COL. SANTA CELILIA, JUÁREZ, CHIHUAHUA",,Comercio al por menor de mascotas,null,31.72935273,-106.4430834
111,VENTA DE ALIMENTO PARA ANIMALES FORRAJERA EL GENERAL,"INGENIERO BERNARDO NORZAGARAY 6919 4 COL. FRANJA DEL RIO (LADRILLEROS MEXICANOS), JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.76455274,-106.5141504
112,VENTA DE ALIMENTOS DON JUAN,"PUERTO HUELVA 1541  COL. TIERRA NUEVA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.61227676,-106.341556
113,VERTERINARIA GENERAL,"DE LA RAZA   COL. SILVIAS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73377224,-106.4591039
114,VET ANGEL VETERINARIA,"DE LA RAZA 6362  COL. PARTIDO LA FUENTE, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72503212,-106.4274788
115,VETERIANARIA GARCIA,"DE LOS AZTECAS 7832  COL. REVOLUCION MEXICANA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.6761469,-106.476224
116,VETERIANARIA LITLE PEATS,"N. MUNICIPIO LIBRE 1638  COL. MELCHOR OCAMPO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71969382,-106.458138
117,VETERIANARIA VICVET,"OASIS DE LA REVOLUCION   COL. OASIS REVOLUCION, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65824489,-106.4560177
118,VETERILANDIA,"CUSTODIO DE LA REPUBLICA 1015  COL. FRAY GARCIA DE SAN FRANCISCO32, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.6064862,-106.3625171
119,VETERINARI -CLINICA ECOPET.,"MANUEL J. CLOUTHIER (JILOTEPEC) 7281  COL. DEL REAL, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 5:00 PM, Martes: 9:00 AM – 5:00 PM, Miércoles: 9:00 AM – 5:00 PM, Jueves: 9:00 AM – 5:00 PM, Viernes: Cerrado, Sabado: 10:00 AM – 5:00 PM, Domingo: Cerrado, ",Servicios veterinarios para mascotas ,4.6,31.6689729,-106.4180169
120,VETERINARIA,"TECNOLOGICO  3 COL. DEL MARQUEZ, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7001705,-106.4247238
